Item (English),All: Count,All: Rate %,All: Unit Price ¥,UK: Count,UK: Rate %,UK: Unit Price ¥
Group Package Tour,"1,203",6.4,"260,078",7,1.4,"865,070"
Individual Package Tour,605,3.1,"241,686",10,2.4,"728,454"
Round-trip Airfare/Ship Fare,"24,220",90.5,"138,004",566,96.2,"290,888"
Accommodation,"18,617",77.5,"94,894",452,83.6,"157,274"
Food & Drink,"21,444",86.4,"56,531",525,92.8,"67,027"
Transportation,"20,325",82.7,"26,178",518,91.1,"36,779"
Domestic Airfare,"1,401",3.6,"32,648",42,6.6,"35,783"
Japan Rail Pass,"1,395",7.3,"28,664",71,16,"43,131"
Shinkansen / Trains,"15,730",66,"16,271",405,73.3,"19,047"
Bus,"3,806",17.9,"5,493",75,12.6,"3,652"
Taxi,"6,646",25.2,"14,764",237,41.4,"17,153"
Car Rental,"1,132",5.1,"37,484",15,2.9,"65,942"
Ship / Ferry (Domestic),128,0.5,"7,525",7,1.5,"9,993"
Other Transportation,"1,523",3.7,"26,055",27,3.6,"19,450"
Entertainment Services,"9,727",40.6,"36,345",259,43.8,"16,459"
Local Tours,548,3.7,"18,093",16,3.4,"7,149"
Golf / Sports Facilities,172,0.6,"36,728",5,0.5,"10,273"
Theme Parks,"1,923",11,"13,395",51,11.1,"9,719"
Theater / Concerts,293,1.4,"21,607",12,2.4,"16,393"
Sports Spectating,208,0.5,"23,785",11,1.4,"7,531"
Museums / Art Galleries,"3,949",18.1,"4,806",162,30.6,"5,351"
Ski Lifts,114,0.3,"15,635",7,0.3,"32,899"
Hot Springs (Onsen),"1,090",5.9,"7,324",37,6.8,"6,868"
Massage,"3,333",7.8,"37,610",54,5,"34,328"
Exhibitions / Conventions,117,0.6,"19,557",1,0.2,"3,000"
"Rental Fees (Kimono, etc.)",75,0.3,"17,137",3,0.5,"5,781"
Other Entertainment,848,2.8,"266,576",11,1.8,"74,497"
Shopping,"22,862",92.9,"66,309",493,87.6,"58,430"
Confectionery / Snacks,"14,289",64.4,"11,866",231,42.7,"7,683"
Alcohol / Sake,"5,592",22.6,"14,104",136,25.8,"13,828"
Fresh Produce,"1,214",4.6,"24,203",22,3,"18,076"
Other Food Products,"9,992",40.8,"14,371",210,36.8,"15,140"
Cosmetics / Perfumes,"3,834",19.4,"26,133",39,7.1,"13,391"
Pharmaceuticals,"3,035",17.3,"15,869",15,2.6,"11,358"
Health Goods / Toiletries,"1,636",8.1,"17,289",14,2.1,"9,280"
Clothing,"7,949",33.1,"31,408",171,29,"27,329"
Shoes / Bags / Leather,"3,989",18.9,"57,309",50,8.8,"156,861"
Electronics,"1,462",5.7,"59,877",37,7.2,"47,640"
Watches / Cameras,568,2.5,"115,392",6,0.9,"145,415"
Jewelry / Precious Metals,407,1.5,"162,400",12,2.3,"67,875"
Traditional Crafts,"2,097",6.9,"17,890",104,20,"13,355"
Books / Magazines,"1,244",4.3,"10,534",46,8.6,"7,843"
Music / Video / Software,634,2.7,"22,352",22,4.9,"25,638"
Other Shopping,"1,655",7.4,"30,425",46,9.4,"44,786"
Others,44,0.1,"99,374",2,0.3,"25,000"
