Category,Item,all:Sample Size,all:Share (%),all:Spending / Unit Price,all:Avg. Nights,uk:Sample Size,uk:Share (%),uk:Spending / Unit Price,uk:Avg. Nights
total,total,,100.0,,20.2,583,100.0,,18.6
Port of Entry,New Chitose Airport,324.0,2.5,,5.6,0,0.0,,
Port of Entry,Hakodate Airport,0.0,0.0,,,0,0.0,,
Port of Entry,Sendai Airport,6.0,0.0,,131.7,0,0.0,,
Port of Entry,Tokyo International Airport (Haneda),,20.3,,18.1,367,65.5,,18.7
Port of Entry,Narita International Airport,,40.7,,28.4,181,30.2,,17.1
Port of Entry,Komatsu Airport,1.0,0.0,,13.0,0,0.0,,
Port of Entry,Mt. Fuji Shizuoka Airport,0.0,0.0,,,0,0.0,,
Port of Entry,Chubu Centrair International Airport,769.0,2.2,,33.9,1,0.1,,7.0
Port of Entry,Kansai International Airport,,19.2,,12.7,25,3.1,,31.0
Port of Entry,Hiroshima Airport,6.0,0.0,,61.1,0,0.0,,
Port of Entry,Kanmon (Shimonoseki) Port,0.0,0.0,,,0,0.0,,
Port of Entry,Takamatsu Airport,1.0,0.0,,14.0,0,0.0,,
Port of Entry,Fukuoka Airport,996.0,9.7,,11.5,2,0.4,,28.3
Port of Entry,Hakata Port,16.0,0.1,,10.4,0,0.0,,
Port of Entry,Izuhara Port,1.0,0.0,,3.0,0,0.0,,
Port of Entry,Kagoshima Airport,0.0,0.0,,,0,0.0,,
Port of Entry,Naha Airport,258.0,1.1,,5.2,1,0.2,,35.0
Port of Entry,Other,,4.2,,11.9,6,0.5,,6.3
Port of Exit,New Chitose Airport,321.0,2.6,,5.6,0,0.0,,
Port of Exit,Hakodate Airport,0.0,0.0,,,0,0.0,,
Port of Exit,Sendai Airport,0.0,0.0,,,0,0.0,,
Port of Exit,Tokyo International Airport (Haneda),,19.9,,17.9,338,61.9,,17.6
Port of Exit,Narita International Airport,,44.3,,26.8,218,35.9,,19.6
Port of Exit,Komatsu Airport,0.0,0.0,,,0,0.0,,
Port of Exit,Mt. Fuji Shizuoka Airport,0.0,0.0,,,0,0.0,,
Port of Exit,Chubu Centrair International Airport,940.0,2.3,,36.2,0,0.0,,
Port of Exit,Kansai International Airport,,20.1,,12.4,26,2.2,,28.9
Port of Exit,Hiroshima Airport,0.0,0.0,,,0,0.0,,
Port of Exit,Kanmon (Shimonoseki) Port,0.0,0.0,,,0,0.0,,
Port of Exit,Takamatsu Airport,0.0,0.0,,,0,0.0,,
Port of Exit,Fukuoka Airport,,9.6,,13.4,1,0.0,,65.0
Port of Exit,Hakata Port,0.0,0.0,,,0,0.0,,
Port of Exit,Izuhara Port,0.0,0.0,,,0,0.0,,
Port of Exit,Kagoshima Airport,0.0,0.0,,,0,0.0,,
Port of Exit,Naha Airport,234.0,1.1,,4.7,0,0.0,,
Length of Stay,Within 3 days,,12.0,,1.7,24,3.4,,1.8
Length of Stay,4 to 6 days,,34.7,,3.8,97,17.8,,4.2
Length of Stay,7 to 13 days,,27.8,,8.0,192,37.5,,8.5
Length of Stay,14 to 20 days,,9.3,,14.9,106,20.4,,14.9
Length of Stay,21 to 27 days,,3.1,,22.2,51,7.9,,22.2
Length of Stay,28 to 90 days,,7.4,,52.7,77,9.6,,43.0
Length of Stay,91 days or more,,5.7,,185.0,36,3.4,,166.7
male,total,,63.6,,20.0,460,77.2,,17.8
male,15～19years old,345.0,1.3,,33.4,7,1.0,,17.7
male,20～29years old,,14.8,,31.7,69,12.3,,30.0
male,30～39years old,,21.7,,18.4,113,20.1,,16.2
male,40～49years old,,13.6,,14.0,121,19.2,,13.1
male,50～59years old,,8.0,,12.6,106,16.0,,15.6
male,60～69years old,,3.4,,17.2,37,7.2,,18.1
male,over 70years old,210.0,0.8,,15.1,7,1.4,,21.8
female,total,,36.4,,20.5,123,22.8,,21.2
female,15～19years old,320.0,1.1,,44.7,4,0.2,,17.4
female,20～29years old,,11.2,,28.7,36,6.1,,27.0
female,30～39years old,,11.1,,15.6,25,5.3,,15.0
female,40～49years old,,6.2,,13.0,18,3.6,,22.8
female,50～59years old,939.0,4.1,,13.8,24,4.9,,19.5
female,60～69years old,518.0,2.2,,25.4,14,2.4,,20.7
female,over 70years old,119.0,0.4,,17.7,2,0.3,,31.1
number of visits to Japan,1st time,,25.3,,27.4,190,37.8,,18.0
number of visits to Japan,2nd time,,13.3,,21.7,79,13.7,,20.4
number of visits to Japan,3rd time,,9.7,,22.1,48,9.1,,17.0
number of visits to Japan,4th time,,7.6,,17.8,33,4.3,,27.4
number of visits to Japan,5th time,,7.7,,16.2,39,6.6,,11.6
number of visits to Japan,6th to 9th time,,11.0,,16.1,50,8.3,,17.7
number of visits to Japan,10th to 19th time,,13.1,,16.2,63,9.6,,17.5
number of visits to Japan,20 times or more,,12.3,,14.3,81,10.6,,22.1
Last visit to Japan,First time (this trip),,25.3,,27.4,190,37.8,,18.0
Last visit to Japan,2nd time or later,,74.7,,17.8,393,62.2,,18.9
Last visit to Japan,in 1 year,,10.4,,28.5,64,8.9,,24.8
Last visit to Japan,in 3 year,,43.4,,17.8,234,35.8,,18.0
Last visit to Japan,in 5 year,,15.2,,11.8,63,11.9,,18.8
Last visit to Japan,in 10 year,857.0,3.6,,16.3,22,3.7,,16.0
Last visit to Japan,more early than 10 years,472.0,2.1,,8.9,10,1.8,,14.9
number of visits in the past year,No visits in the past 1 year,,89.6,,19.3,519,91.1,,18.0
number of visits in the past year,1 time,,6.5,,36.0,47,7.0,,26.3
number of visits in the past year,2 times,808.0,2.1,,21.2,6,0.9,,16.5
number of visits in the past year,3 to 5 times,496.0,1.2,,10.1,11,1.1,,21.7
number of visits in the past year,6 to 9 times,130.0,0.3,,7.3,0,0.0,,
number of visits in the past year,10 times or more,173.0,0.3,,13.4,0,0.0,,
companion,Alone / Solo,,41.8,,30.7,362,58.9,,21.2
companion,Couple / Partner,,14.1,,11.2,78,16.8,,17.8
companion,Family / Relatives,,15.2,,11.2,40,6.4,,16.7
companion,Workplace Colleagues,,16.8,,16.5,86,13.5,,11.1
companion,Friends,,11.0,,10.7,16,4.0,,12.2
companion,Other,211.0,1.0,,15.2,1,0.3,,14.0
purpose,Tourism / Leisure,,47.3,,6.1,109,27.9,,13.1
purpose,Visiting Relatives / Acquaintances,,10.9,,35.2,123,15.5,,24.5
purpose,Honeymoon,34.0,0.2,,9.5,4,1.1,,23.7
purpose,School Trip / Education-related,105.0,0.4,,20.0,0,0.0,,
purpose,Sports / Spectating,157.0,0.5,,13.0,3,0.7,,11.3
purpose,Event,98.0,0.4,,7.9,3,0.4,,4.1
purpose,Study Abroad,,3.0,,128.0,12,1.8,,102.8
purpose,Medical Treatment / Checkup,36.0,0.2,,38.2,0,0.0,,
purpose,Incentive Trip,92.0,0.6,,7.9,1,0.1,,5.0
purpose,Exhibition / Trade Show,297.0,1.1,,7.3,8,1.7,,6.6
purpose,International Conference,411.0,1.4,,7.6,19,3.4,,7.9
purpose,Corporate Meeting,,6.0,,9.4,66,13.1,,10.7
purpose,Training,671.0,2.7,,75.5,7,1.6,,10.6
purpose,Other Business,,19.9,,29.6,217,31.2,,21.0
purpose,Transit,596.0,1.6,,1.0,4,0.4,,1.0
purpose,Other,,3.9,,16.8,7,1.1,,38.6
accommodation type,Hotel (Western style),,81.1,,11.5,465,85.4,,15.7
accommodation type,Ryokan (Japanese style),,11.7,,17.1,70,13.9,,21.5
accommodation type,Owned Vacation Home,209.0,0.6,,76.5,7,0.8,,75.2
accommodation type,School/Company Dormitory,,5.5,,103.3,14,1.7,,86.9
accommodation type,Home of Relatives/Friends,,11.3,,42.3,126,16.3,,27.9
accommodation type,Youth Hostel,312.0,1.7,,26.9,8,1.6,,34.3
accommodation type,Capsule Hotel,103.0,0.6,,21.5,5,1.3,,31.6
accommodation type,Paid Private Accommodation (Airbnb etc.),873.0,4.2,,31.8,28,4.5,,32.7
accommodation type,Other,,4.2,,80.4,38,5.1,,76.4
accommodation type,No Overnight Stay,22.0,0.1,,0.0,0,0.0,,
